id,name_zhs,name_en,rarity,description_zhs,description_en,flavor_zhs,flavor_en,class
Burning Blood,燃烧之血,Burning Blood,初始,在战斗结束时，回复6点生命。,"At the end of combat, heal 6 HP",你自身的血液因为无尽的愤怒而燃烧沸腾。,Your body's own blood burns with an undying rage.,铁甲战士
Ring of the Snake,蛇之戒指,Ring of the Snake,初始,在每场战斗开始时，额外抽 #b2 张牌。,"At the start of each combat, draw #b2 additional cards.",用蛇的化石制成的戒指，优秀女猎手的象征。,Made from a fossilized snake. Represents great skill as a huntress.,静默猎手
Cracked Core,破损核心,Cracked Core,初始,在每场战斗开始时， #y生成 #b1 个 #y闪电 充能球。,"At the start of each combat, Channel  #b1 #y Lightning.",高塔所有自动机器人体内都有的神秘生命力之源，这个似乎已经有一点破损了,The mysterious life force which powers the Automatons within the Spire. It appears to be cracked.,故障机器人
Pure Water,至纯之水,PureWater,初始,在每场战斗开始时，将一张 #y奇迹 放入你的手牌。,"At the start of each combat, add a #yMiracle into your hand.",用极细的沙粒过滤的水，去除了一切杂质。,Filtered through fine sand and free of impurities.,观者
Juzu Bracelet,佛珠手链,Juzu Bracelet,普通,你在 #y? 房间中不会再遭遇常规战斗。,Normal enemy combats are no longer encountered in #y? rooms.,抵御未知危险的护身道具。,A ward against the unknown.,通用
Bag of Preparation,准备背包,Bag of Preparation,普通,在每场战斗开始时，额外抽 #b2 张牌。,"At the start of each combat, draw #b2 additional cards",冒险者专用的超大号背包，有很多口袋和皮带。,Oversized adventurer's pack. Has many pockets and straps.,通用
Anchor,锚,Anchor,普通,每场战斗开始时获得 #b10点 #y格挡,Start each combat with #b #yBlock.,拿着这个小小的装饰，你觉得自己更稳也更重了。,"Holding this miniature trinket, you feel heavier and more stable.",通用
Ancient Tea Set,古茶具套装,Ancient Tea Set,普通,到达休息处后的下一场战斗开始时获得2点能量。,"Whenever you enter a Rest Site, start the next combat with 2 energy .",能让你神清气爽睡得香。,The key to a refreshing night's rest.,通用
Art of War,孙子兵法,Art of War,普通,如果你在回合中不打出任何 #y攻击牌 ，在下一回合得到一点额外能量。,"If you do not play any #yAttacks during your turn, gain an additional energy next turn.",这本古兵书记载着远古时代的智慧。,This ancient manuscript contains wisdom from a past age.,通用
Bag of Marbles,弹珠袋,Bag of Marbles,普通,在每场战斗开始时，给予所有敌人 #b1层 #y易伤,"At the start of each combat, apply #b3,#yVulnerable to ALL enemies.",曾经这在城市区是流行的玩具，现在你可以用它让敌人们失去平衡。,A once popular toy in the City. Useful for throwing enemies off balance.,通用
Blood Vial,小血瓶,Blood Vial,普通,在每场战斗开始时，回复 #b2 点生命。,"At the start of each combat, heal #b2 HP.",装着纯种年长吸血鬼血液的一个小瓶。,A vial containing the blood of a pure and elder vampire.,通用
Bronze Scales,铜制鳞片,Bronze Scales,普通,在每场战斗开始时，获得 #b3点 荆棘,Start each combat with #b3 #yThorns.,守护者身上的锐利鳞片，会自动变形来保护使用者。,The sharp scales of the Guardian. Rearranges itself to protect its user.,通用
Centennial Puzzle,百年积木,Centennial Puzzle,普通,你在每场战斗中第一次损伤生命时，抽 #b3 张牌。,"The first time you lose HP each combat, draw #b3 cards.",解开积木的谜题时，你感到心中有一股强大的暖意。,"Upon solving the puzzle, you feel a powerful warmth in your chest.",通用
Data Disk,数据磁盘,Data Disk,普通,在每场战斗开始时，获得 #b1 点 #y集中,Start each combat with #b1 #yFocus.,这张磁盘里记录了关于鸟类和蛇类的珍贵数据。,This disk contains precious data on birds and snakes.,故障机器人
The Boot,发条靴,The Boot,普通,每当你造成小于等于 #b5点 未被格挡的 #y攻击 伤害时，将伤害提升为 #b5。,"Whenever you would deal 4 or less unblocked Attack damage, increase it to 5.",拧动发条会让这只靴子变得更大。,"When wound up, the boot grows larger in size.",通用
Dream Catcher,捕梦网,Dream Catcher,普通,每当你 #y休息 时，可以增加一张牌到你的牌组。,"""Whenever you #yRest, you may add a card into your deck.",北方部落会在入睡时挂上这种网，相信这样做能够实现自我提升。,"The northern tribes would often use dream catchers at night, believing they led to self improvement.",通用
Happy Flower,开心小花,Happy Flower,普通,每 #b3 个回合，获得一点能量。,"Every #b3 turns, gain 1 energy .",这朵一直面带笑容的花是贵族间流行的小礼物。,This unceasingly joyous plant is a popular novelty item among nobles.,通用
Lantern,灯笼,Lantern,普通,在每场战斗的第一回合获得一点能量。,Start each combat with an additional energy.,一盏诡异的灯笼，只为提灯者照明。,An eerie lantern which illuminates only for the wielder.,通用
Oddly Smooth Stone,意外光滑的石头,Oddly Smooth Stone,普通,在每场战斗开始时，获得 #b1 点 #y敏捷。,Start each combat with #b1 #yDexterity.,你从没有见过这么光滑完好的东西，这一定是出自先古之民的手艺。,You have never seen something so smooth and pristine. This must be the work of the Ancients.,通用
Omamori,御守,Omamori,普通,抵消你下 #b2 次获得的 #r诅咒。,Negate the next #b2 #rCurses you obtain.,常见的用来抵御邪灵的护身符，这个护符里似乎有一股神圣的能量。,A common charm for staving off vile spirits. This one seems to possess a spark of divine energy.,通用
Orichalcum,奥利哈钢,Orichalcum,普通,如果你在回合结束时没有任何 #y格挡 ，获得 #b6点 #y格挡。,"Every time you play #b3 #yAttacks in a single turn, gain #b6 #yBlock.",一块出处不明、带着些绿色的金属。似乎完全不会毁坏。,The fan seems to extend and harden as blood is spilled.,通用
Red Skull,红头骨,Red Skull,普通,当你的生命值等于或低于 #b50% 时， 你获得额外 #b3点 #y力量。,"While your HP is at or below #b50%, you have #b3 additional #yStrength.",一个用装饰性颜料涂红的小小头骨。,A small skull covered in ornamental paint.,铁甲战士
Regal Pillow,皇家枕头,Regal Pillow,普通,在 #y休息 时额外回复 #b15 点生命。,"Whenever you #yRest, heal an additional #b15 HP.",这下能好好睡一觉了。,Now you can get a proper night's rest.,通用
Smiling Mask,微笑面具,Smiling Mask,普通,商人的卡牌移除服务现在价格永远是 #b50 #y金币。,The Merchant's card removal service now always costs #b50 #yGold.,商人戴着的面具，看来他有很多备用的……,Mask worn by the Merchant. He must have spares...,通用
Snake Skull,异蛇头骨,Snake Skull,普通,每当你给予敌人 #y中毒 状态时，额外给予 #b1层 #y中毒,"Whenever you apply #yPoison, apply an additional #b1 #yPoison.",保存完好的异蛇头骨，十分离奇地非常干净和光滑，任何灰尘和污垢都无法沾上它，这是为什么呢。,"A snecko skull in pristine condition. Mysteriously clean and smooth, dirt and grime fall off inexplicably.",静默猎手
Strawberry,草莓,Strawberry,普通,拾起时，将你的最大生命值提升 #b7.,"Upon pickup, raise your Max HP by #b7",太好吃了！荒疫之后就没见过这东西了啊。”——兰伟德,"Delicious! Haven't seen any of these since the blight.\"" - Ranwid",通用
Potion Belt,药水腰带,Potion Belt,普通,拾起时，获得 #b2 个药水栏位。,"Upon pickup, gain #b2 Potion slots.",穿上这条腰带，我就能携带更多药水！,I can hold more Potions using this belt!,通用
Tiny Chest,小宝箱,Tiny Chest,普通,每 #b4个 #y？ 房间的最后一个必是 #y宝箱房 。,Every #b4th #y? room is a #yTreasure room.,作为原型而言相当不错。”——建筑师,"\""A fine prototype.\"" - The Architect",通用
Vajra,金刚杵,Vajra,普通,在每场战斗开始时，获得 #b1 点 #y力量。,Start each combat with #b1 #yStrength.,一件交给在战斗中展示了荣耀的战士们的装饰性遗物。,An ornamental relic given to warriors displaying glory in battle.,通用
Whetstone,磨刀石,Whetstone,普通,拾起时，随机 #y升级 #b2 张 #y攻击牌 。,"Upon pickup, #yUpgrade #b2 random #yAttacks.",“肉体永远无法打败钢铁。”——忽必烈大帝,"\""Flesh never beats steel.\"" - Kublai the Great",通用
Meal Ticket,餐券,MealTicket,普通,每当你进入商店房间时，回复 #b15 点生命。,"Whenever you enter a shop, heal #b15 HP.",“这里的肉丸子可是有名的！以后每次来都可以尝尝哦！”,"\""Complimentary meatballs with every visit!\""",通用
Maw Bank,巨口储蓄罐,MawBank,普通,每攀爬一层楼层获得 #b12 #y金币 。一旦在商店中花费 #y金币 就会失效。,"Whenever you climb a floor, gain #b12 #yGold. No longer works when you spend any #b12 #yGold at the shop.",尽管巨口袭击频繁发生，这个造型的储蓄罐却意外相当流行。,"Surprisingly popular, despite maw attacks being a regular occurrence.",通用
Nunchaku,双节棍,Nunchaku,普通,你每打出 #b10张 #y攻击牌 ，获得一点能量。,"Every time you play #b10 #yAttacks, gain 1 energy.",优良的练武器具，能改善使用者的姿势、提升灵活度。,A good training tool. Improves the posture and agility of the wielder.,通用
Preserved Insect,昆虫标本,PreservedInsect,普通,精英战中的敌人生命减少 #b25% 。,Enemies in Elite combats have #b25% less HP.,这只昆虫似乎会对尤其巨大的敌人们散发出虚弱的光环。,The insect seems to create a shrinking aura that targets particularly large enemies.,通用
Ceramic Fish,陶瓷小鱼,Ceramic Fish,普通,每次你往自己的牌组中加入一张卡牌时，获得 #b9 #y金币。,"Whenever you add a card to your deck, gain #b9 #ygold.",这些被精心上色的鱼儿被认为可以带来滚滚财源。,"Meticulously painted, these fish were revered to bring great fortune.",通用
Akabeko,赤牛,Akabeko,普通,你在每场战斗中的第一次攻击造成 #b8 点额外伤害,Your first Attack each combat deals #b8 additional damage.,哞～,"""Muuu~""",通用
Damaru,手摇鼓,Damaru,普通,在你的回合开始时，获得 #b1 层 #y真言 。,"At the start of your turn, gain #b1 #yMantra.",这面小鼓的声音让你时刻保持神志清醒，仿佛能看见前方何处才有道路。,"The sound of the small drum keeps your mind awake, revealing a path forward.",观者
Pen Nib,钢笔尖,Pen Nib,普通,你每打出的第 #b10 张 #y攻击牌 将会造成双倍伤害。,Every #b10th #yAttack you play deals double damage.,拿着这支笔尖时，你可以看见所有被笔尖前主人杀死过的人。真是血腥的历史。,"Holding the nib, you can see everyone ever slain by a previous owner of the pen. A violent history.",通用
War Paint,战纹涂料,War Paint,普通,拾起时，随机 #y升级 #b2 张 #y技能牌。,"Upon pickup, #yUpgrade #b2 random #ySkills.",在过去，铁甲军团的士兵们会在战斗前使用带有魔力的涂料来绘制保护性的战纹。,"In the past, Ironclads would create wards using enchanted war paint before charging into battle.",通用
